brisque_rtp-ml,brisque_gt,timestamp,file,dataset
47.04,42.25522,1717509173,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
45.99,39.7713,1717509174,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
46.16,39.6608,1717509175,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
46.76,40.93286,1717509176,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
45.55,40.656,1717509177,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
46.89,39.84611,1717509178,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
46.71,39.73903,1717509179,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
45.78,39.86525,1717509180,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
45.58,40.11535,1717509181,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
46.29,39.73616,1717509182,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
47.03,40.3318,1717509183,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
42.79,40.52068,1717509184,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
43.21,41.47801,1717509185,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
44.5,42.47924,1717509186,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
44.94,44.64113,1717509187,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
54.22,80.83811,1717509189,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
55.87,81.64505,1717509190,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
78.19,81.15088,1717509191,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
78.86,80.9682,1717509192,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
77.95,78.77698,1717509193,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
77.47,78.11208,1717509194,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
74.14,78.18008,1717509195,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.36,77.89402,1717509196,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
75.15,77.8187,1717509197,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
73.75,79.41022,1717509198,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.18,72.40767,1717509199,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
74.32,71.28016,1717509200,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
76.98,70.32483,1717509201,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
70.71,70.083,1717509202,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
68.97,70.28031,1717509203,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
73.92,70.10598,1717509204,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
72.09,70.60032,1717509205,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
58.4,70.15798,1717509206,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
53.39,70.01238,1717509207,C:\final_project\pcap_files_test\2024_06_04_16_52_250falls30demoKBps\pcap_2024_06_04_16_52_250falls30demoKBpsRtp.csv,falls
